,SMILES,smip_cand_mons,vinyl,epo,cOle,lactone,lactam,hydCOOH,aminCOOH,hindPhenol,cAnhyd,CO,HCHO,sfonediX,BzodiF,diepo,diCOOH,diol,diamin,diNCO,dicAnhyd,pridiamin,diol_b
43553,Cc1ccc(C(=O)C=CNc2ccccc2C)cc1,Cc1ccc(C(=O)C=CNc2ccccc2C)cc1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
30391,OCCc1nnc(CCO)nn1,OCCc1nnc(CCO)nn1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
74180,CCCC#Cc1ccc(F)cc1C,CCCC#Cc1ccc(F)cc1C,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
62815,C=CCCCNCC(C)(OC)OC,C=CCCCNCC(C)(OC)OC,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
56138,C=CCC(CO)NC(=O)OCC1c2ccccc2-c2ccccc21,C=CCC(CO)NC(=O)OCC1c2ccccc2-c2ccccc21,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
46025,C=CCc1ccccc1OCCBr,C=CCc1ccccc1OCCBr,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
14553,COC1(CS(N)=O)CCOCC1,COC1(CS(N)=O)CCOCC1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10856,O=C(O)Cc1cc(F)cc(F)c1CO,O=C(O)Cc1cc(F)cc(F)c1CO,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
32554,CC1(C(=O)O)NC(C(=O)O)CS1,CC1(C(=O)O)NC(C(=O)O)CS1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
31043,C=CCOC(=O)CC(O)C(=O)OCC=C,C=CCOC(=O)CC(O)C(=O)OCC=C,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
35864,Nc1ccccc1SCCSc1ccccc1N,Nc1ccccc1SCCSc1ccccc1N,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
71820,C#CC(O)c1ccc(OC)c(OC)c1,C#CC(O)c1ccc(OC)c(OC)c1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
19816,CC1(C2(O)CC2)CCOCC1,CC1(C2(O)CC2)CCOCC1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
72118,C#Cc1cc(Br)ccc1NC(=O)OC(C)(C)C,C#Cc1cc(Br)ccc1NC(=O)OC(C)(C)C,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
25711,CC(C)(C)c1cc(C=NCCN=Cc2cc(C(C)(C)C)c(O)c(C(C)(C)C)c2)cc(C(C)(C)C)c1O,CC(C)(C)c1cc(C=NCCN=Cc2cc(C(C)(C)C)c(O)c(C(C)(C)C)c2)cc(C(C)(C)C)c1O,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
15947,CCOC(=O)C1CC(C)OC(C)C1,CCOC(=O)C1CC(C)OC(C)C1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
66859,O=C(O)CC(CC(=O)O)c1ccncc1,O=C(O)CC(CC(=O)O)c1ccncc1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
17602,C1CCCN(CC2CO2)CC1,C1CCCN(CC2CO2)CC1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1545,Brc1ccc2cc3ccc(Br)cc3cc2c1,Brc1ccc2cc3ccc(Br)cc3cc2c1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
67388,O=C(O)c1cc(C(=O)O)cc(S(=O)(=O)F)c1,O=C(O)c1cc(C(=O)O)cc(S(=O)(=O)F)c1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
47532,ON=C(C=Cc1ccccc1)c1ccccc1,ON=C(C=Cc1ccccc1)c1ccccc1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
44762,CCOc1ccc(C(=O)C=Cc2ccc3c(c2)OCO3)cc1,CCOc1ccc(C(=O)C=Cc2ccc3c(c2)OCO3)cc1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
74606,CCOC(C)OCC#Cc1ccc(Cl)c(Cl)c1,CCOC(C)OCC#Cc1ccc(Cl)c(Cl)c1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
43774,C=CCCN(c1ccccc1OC)S(=O)(=O)c1ccccc1,C=CCCN(c1ccccc1OC)S(=O)(=O)c1ccccc1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
39526,O=C(C=CNc1ccc(Cl)c(Cl)c1)c1ccc(F)cc1,O=C(C=CNc1ccc(Cl)c(Cl)c1)c1ccc(F)cc1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
974,COc1cc(Br)c(O)cc1Br,COc1cc(Br)c(O)cc1Br,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
20939,N#CCC(=O)C1CCOCC1,N#CCC(=O)C1CCOCC1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
25164,CC(C)(C)[Si](C)(C)OC1CCC(CO)(CO)CC1,CC(C)(C)[Si](C)(C)OC1CCC(CO)(CO)CC1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
