,SMILES,smip_cand_mons,vinyl,epo,cOle,lactone,lactam,hydCOOH,aminCOOH,hindPhenol,cAnhyd,CO,HCHO,sfonediX,BzodiF,diepo,diCOOH,diol,diamin,diNCO,dicAnhyd,pridiamin,diol_b
14712,O=C1C=C(c2ccccc2)C(=CF)O1,O=C1C=C(c2ccccc2)C(=CF)O1,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
14713,C=CCOC(=O)C1(C)C2C3C=CC(O3)C21,C=CCOC(=O)C1(C)C2C3C=CC(O3)C21,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
14714,NC(=O)C(=NO)N1CCOCC1,NC(=O)C(=NO)N1CCOCC1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
14715,O=C1COC(=O)c2ccccc21,O=C1COC(=O)c2ccccc21,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
14716,O=C1OC(=O)C2CCC=CC12,O=C1OC(=O)C2CCC=CC12,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
14717,OCC1OCC(O)C1O,OCC1OCC(O)C1O,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
14718,CC(C)(C)OCC1CCCO1,CC(C)(C)OCC1CCCO1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
14719,O=C1C2CCCC1COC2,O=C1C2CCCC1COC2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
14720,CC(C)(C)OC(=O)NC1C2COCC21,CC(C)(C)OC(=O)NC1C2COCC21,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
14721,CC1(C)COC(c2cc(Cl)ccc2Br)=N1,CC1(C)COC(c2cc(Cl)ccc2Br)=N1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
14722,CC1(C)COC(c2cccc(Br)c2)=N1,CC1(C)COC(c2cccc(Br)c2)=N1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
14723,CC1(C)COC(c2ccc(N)cc2)=N1,CC1(C)COC(c2ccc(N)cc2)=N1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
14724,Cc1ccccc1C1=NC(C)(C)CO1,Cc1ccccc1C1=NC(C)(C)CO1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
14725,CC1CCCOC1=O,CC1CCCOC1=O,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
14726,CC(=O)C1COC(C)(C)N1C(=O)OC(C)(C)C,CC(=O)C1COC(C)(C)N1C(=O)OC(C)(C)C,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
14727,COC(=O)C=CC1COC(C)(C)N1C(=O)OC(C)(C)C,COC(=O)C=CC1COC(C)(C)N1C(=O)OC(C)(C)C,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
14728,NC1CCC12COC2,NC1CCC12COC2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
14729,O=C1CCC12COC2,O=C1CCC12COC2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
14730,CS(=O)(=O)C1(C#N)COC1,CS(=O)(=O)C1(C#N)COC1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
14731,N#CC1(c2ccc(OCc3ccccc3)cc2)CCOCC1,N#CC1(c2ccc(OCc3ccccc3)cc2)CCOCC1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
14732,OC1CCC12CCOCC2,OC1CCC12CCOCC2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
14733,O=C1CCC12CCOCC2,O=C1CCC12CCOCC2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
14734,CCOC(=O)C1COCC(Br)C1=O,CCOC(=O)C1COCC(Br)C1=O,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
14735,Cc1ccc(C2=NC(=Cc3ccccc3)C(=O)O2)cc1,Cc1ccc(C2=NC(=Cc3ccccc3)C(=O)O2)cc1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
14736,Cc1ccc(C=C2N=C(c3ccc(Cl)cc3)OC2=O)cc1,Cc1ccc(C=C2N=C(c3ccc(Cl)cc3)OC2=O)cc1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
14737,CC1(C)OC(=O)c2c(ccc(Cl)c2O)O1,CC1(C)OC(=O)c2c(ccc(Cl)c2O)O1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
14738,COC(=O)c1cnn(C2CCCCO2)c1Br,COC(=O)c1cnn(C2CCCCO2)c1Br,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
14739,CCOC(=O)C1CC2(COC2)C1,CCOC(=O)C1CC2(COC2)C1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
14740,CCOC(=O)C1CC12CCOCC2,CCOC(=O)C1CC12CCOCC2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
14741,CC1(c2ccc(Br)cc2)COC1,CC1(c2ccc(Br)cc2)COC1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
14742,CCOC(=O)C1COC(C)(C)C1=O,CCOC(=O)C1COC(C)(C)C1=O,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
14743,ClCC1CCO1,ClCC1CCO1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
14744,COC1(CBr)CCOCC1,COC1(CBr)CCOCC1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
14745,CC1(C)CC(C=O)CC(C)(C)O1,CC1(C)CC(C=O)CC(C)(C)O1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
14746,O=CC1(Br)CCOCC1,O=CC1(Br)CCOCC1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
14747,NC1=NCCOC1,NC1=NCCOC1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
14748,O=C(O)CC1(C(=O)O)CCOCC1,O=C(O)CC1(C(=O)O)CCOCC1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
14749,C[Si](C)(C)C#CC(=O)C1CCCO1,C[Si](C)(C)C#CC(=O)C1CCCO1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
14750,O=C(O)C1(Br)CCOCC1,O=C(O)C1(Br)CCOCC1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
14751,O=C1OCCC12CC2,O=C1OCCC12CC2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
14752,CCOC(=O)N1C(C#N)COCC1(C)C,CCOC(=O)N1C(C#N)COCC1(C)C,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
14753,O=C(Cl)C1(Br)CCOCC1,O=C(Cl)C1(Br)CCOCC1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
14754,O=C1OCCC12CCCC2,O=C1OCCC12CCCC2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
14755,COC(=O)C1(Br)CCOCC1,COC(=O)C1(Br)CCOCC1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
14756,O=C1OCCC12CCC2,O=C1OCCC12CCC2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
14757,C=CCOC1COC1,C=CCOC1COC1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
14758,COc1ccc(C2(O)COC2)cc1,COc1ccc(C2(O)COC2)cc1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
14759,OC1(c2ccc(C(F)(F)F)cc2)COC1,OC1(c2ccc(C(F)(F)F)cc2)COC1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
14760,O=C(CCl)C1CCCO1,O=C(CCl)C1CCCO1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
14761,O=C(CCl)C1CCCCO1,O=C(CCl)C1CCCCO1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
14762,O=C(CCl)C1CCOC1,O=C(CCl)C1CCOC1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
14763,CC(=O)C1CCCCO1,CC(=O)C1CCCCO1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
14764,O=C(CCl)C1CCOCC1,O=C(CCl)C1CCOCC1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
14765,O=C(CBr)CC1CCCO1,O=C(CBr)CC1CCCO1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
14766,c1cc2c(s1)COCC2,c1cc2c(s1)COCC2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
14767,CCOC(=O)C1(CC)COCCN1,CCOC(=O)C1(CC)COCCN1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
14768,COC(=O)N1CCOCC1,COC(=O)N1CCOCC1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
14769,CC(C)(C)OC(=O)N1C(CBr)COC1(C)C,CC(C)(C)OC(=O)N1C(CBr)COC1(C)C,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
14770,O=Cc1ccccc1COC1CCCCO1,O=Cc1ccccc1COC1CCCCO1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
14771,OCc1ccccc1COC1CCCCO1,OCc1ccccc1COC1CCCCO1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
14772,OC1COC(c2ccccc2)C1,OC1COC(c2ccccc2)C1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
14773,COC1OC(CO)C(C)C(O)C1O,COC1OC(CO)C(C)C(O)C1O,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
14774,Brc1ccc(C2=CCOCC2)cc1,Brc1ccc(C2=CCOCC2)cc1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
14775,CC(NC(=O)OCc1ccccc1)C(=O)N1CCOCC1,CC(NC(=O)OCc1ccccc1)C(=O)N1CCOCC1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
