No,mon1,mon2,SMILES,polymer_class,thermal_conductivity
26,O=C(O)c1ccc2[nH]c(C(=O)O)cc2c1,Nc1ccc(C(=O)Nc2ccc(NC(=O)c3ccc(N)cc3)cc2)cc1,*Nc1ccc(C(=O)Nc2ccc(NC(=O)c3ccc(NC(=O)c4ccc5[nH]c(C(*)=O)cc5c4)cc3)cc2)cc1,polyamide,0.449 
27,O=C(O)c1ccc(NC(=O)c2ccc(C(=O)Nc3ccc(C(=O)O)cc3)cc2)cc1,Nc1ccc2c(c1)=c1ccc(N)cc1=2,*Nc1ccc2c(c1)=c1ccc(NC(=O)c3ccc(NC(=O)c4ccc(C(=O)Nc5ccc(C(*)=O)cc5)cc4)cc3)cc1=2,polyamide,0.445 
28,O=C(O)c1ccc2[nH]c(C(=O)O)cc2c1,Nc1ccc(NC(=O)c2ccc(N)cc2)cc1,*Nc1ccc(NC(=O)c2ccc(NC(=O)c3cc4cc(C(*)=O)ccc4[nH]3)cc2)cc1,polyamide,0.443 
29,O=C(O)c1ccc(C=Nc2ccc(C(=O)O)cc2)cc1,Nc1ccc(NC(=O)c2ccc(N)cc2)cc1,*Nc1ccc(C(=O)Nc2ccc(NC(=O)c3ccc(N=Cc4ccc(C(*)=O)cc4)cc3)cc2)cc1,polyamide,0.442 
30,O=C(O)c1ccc(C=Nc2ccc(N=Cc3ccc(C(=O)O)cc3)cc2)cc1,Nc1ccc(NC(=O)c2ccc(C(=O)Nc3ccc(N)cc3)cc2)cc1,*Nc1ccc(NC(=O)c2ccc(C(=O)Nc3ccc(NC(=O)c4ccc(C=Nc5ccc(N=Cc6ccc(C(*)=O)cc6)cc5)cc4)cc3)cc2)cc1,polyamide,0.442 
31,O=C(O)c1ccc(NC(=O)c2ccc(C(=O)Nc3ccc(C(=O)O)cc3)cc2)cc1,Nc1ccc(NC(=O)c2ccc(C(=O)Nc3ccc(N)cc3)cc2)cc1,*Nc1ccc(NC(=O)c2ccc(C(=O)Nc3ccc(NC(=O)c4ccc(NC(=O)c5ccc(C(=O)Nc6ccc(C(*)=O)cc6)cc5)cc4)cc3)cc2)cc1,polyamide,0.442 
32,O=C(Cl)c1ccc(C(=O)Cl)cc1,Nc1ccc2c(c1)=c1ccc(N)cc1=2,*Nc1ccc2c(c1)=c1ccc(NC(=O)c3ccc(C(*)=O)cc3)cc1=2,polyamide,0.440 
33,O=C(O)c1ccc2[nH]c(C(=O)O)cc2c1,Nc1ccc(C(=O)Nc2ccc(NC(=O)c3ccc(N)cc3)cc2)cc1,*Nc1ccc(C(=O)Nc2ccc(NC(=O)c3ccc(NC(=O)c4cc5cc(C(*)=O)ccc5[nH]4)cc3)cc2)cc1,polyamide,0.434 
34,O=C(O)c1ccc(NC(=O)c2ccc(C(=O)Nc3ccc(C(=O)O)cc3)cc2)cc1,Nc1ccc2cc(N)ccc2c1,*Nc1ccc2cc(NC(=O)c3ccc(NC(=O)c4ccc(C(=O)Nc5ccc(C(*)=O)cc5)cc4)cc3)ccc2c1,polyamide,0.433 
35,O=C(O)c1ccc(C=Nc2ccc(C(=O)O)cc2)cc1,Nc1ccc(C(=O)Nc2ccc(NC(=O)c3ccc(N)cc3)cc2)cc1,*Nc1ccc(C(=O)Nc2ccc(NC(=O)c3ccc(NC(=O)c4ccc(C=Nc5ccc(C(*)=O)cc5)cc4)cc3)cc2)cc1,polyamide,0.433 
