No,mon1,mon2,SMILES,polymer_class,thermal_conductivity
87,O=C(O)CNc1ccc(C(=O)O)cc1,Nc1ccc(C(=O)Nc2ccc(NC(=O)c3ccc(N)cc3)cc2)cc1,*Nc1ccc(C(=O)Nc2ccc(NC(=O)c3ccc(NC(=O)c4ccc(NCC(*)=O)cc4)cc3)cc2)cc1,polyamide,0.368 
88,O=C=Nc1ccc(Oc2ccc(N=C=O)cc2)cc1,OCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCO,*OCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCOC(=O)Nc1ccc(Oc2ccc(NC(*)=O)cc2)cc1,polyurethane,0.366 
89,O=C=Nc1ccc(N=C=O)cc1,OCCCCCCCCCCCCCCCCCO,*OCCCCCCCCCCCCCCCCCOC(=O)Nc1ccc(NC(*)=O)cc1,polyurethane,0.363 
90,O=C(O)COc1ccc(C(=O)O)cc1,Nc1ccc(NC(=O)c2ccc(C(=O)Nc3ccc(N)cc3)cc2)cc1,*Nc1ccc(NC(=O)c2ccc(C(=O)Nc3ccc(NC(=O)COc4ccc(C(*)=O)cc4)cc3)cc2)cc1,polyamide,0.361 
91,O=C=Nc1ccc(N=C=O)cc1,O=C(Nc1ccc(O)cc1)c1ccc(O)cc1,*Oc1ccc(NC(=O)c2ccc(OC(=O)Nc3ccc(NC(*)=O)cc3)cc2)cc1,polyurethane,0.361 
92,O=C=Nc1cccc2c(N=C=O)cccc12,OCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCO,*OCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCOC(=O)Nc1cccc2c(NC(*)=O)cccc12,polyurethane,0.361 
93,O=C=NCCCCCCCCCCN=C=O,OCCCCCCCCCCCCCCCCCCCCO,*OCCCCCCCCCCCCCCCCCCCCOC(=O)NCCCCCCCCCCNC(*)=O,polyurethane,0.359 
94,O=C(O)c1ccc(C=Nc2ccc(C(=O)O)cc2)cc1,Nc1ccc(NC(=O)c2ccc(C(=O)Nc3ccc(N)cc3)cc2)cc1,*Nc1ccc(NC(=O)c2ccc(C(=O)Nc3ccc(NC(=O)c4ccc(C=Nc5ccc(C(*)=O)cc5)cc4)cc3)cc2)cc1,polyamide,0.356 
95,O=C(O)c1ccc(C=Nc2ccc(C(=O)O)cc2)cc1,Nc1ccc(N)cc1,*Nc1ccc(NC(=O)c2ccc(N=Cc3ccc(C(*)=O)cc3)cc2)cc1,polyamide,0.354 
96,O=C(O)CNc1ccc(C(=O)O)cc1,Nc1ccc(C(=O)Nc2ccc(NC(=O)c3ccc(N)cc3)cc2)cc1,*Nc1ccc(C(=O)Nc2ccc(NC(=O)c3ccc(NC(=O)CNc4ccc(C(*)=O)cc4)cc3)cc2)cc1,polyamide,0.353 
97,O=C=Nc1cccc(N=C=O)c1,OCCCCCCCCCCCCCCCCCCCCCCO,*OCCCCCCCCCCCCCCCCCCCCCCOC(=O)Nc1cccc(NC(*)=O)c1,polyurethane,0.350 
98,O=C(O)c1ccc(NC(=O)c2ccc(C(=O)O)cc2)cc1,Nc1ccc(N)[nH]1,*Nc1ccc(NC(=O)c2ccc(C(=O)Nc3ccc(C(*)=O)cc3)cc2)[nH]1,polyamide,0.350 
99,O=C(O)c1ccc(NC(=O)c2ccc(C(=O)O)cc2)cc1,Nc1ccc(N)c2[nH]ccc12,*Nc1ccc(NC(=O)c2ccc(NC(=O)c3ccc(C(*)=O)cc3)cc2)c2cc[nH]c12,polyamide,0.350 
100,O=C(O)CNc1ccc(C(=O)O)cc1,Nc1ccc(NC(=O)c2ccc(C(=O)Nc3ccc(N)cc3)cc2)cc1,*Nc1ccc(NC(=O)c2ccc(C(=O)Nc3ccc(NC(=O)CNc4ccc(C(*)=O)cc4)cc3)cc2)cc1,polyamide,0.349 
101,O=C=Nc1ccc(N=C=O)cc1,OCCCCCCCCCCCCCCCCCCO,*OCCCCCCCCCCCCCCCCCCOC(=O)Nc1ccc(NC(*)=O)cc1,polyurethane,0.348 
102,O=C(O)c1ccc2[nH]c(C(=O)O)cc2c1,Nc1ccc(NC(=O)c2ccc(C(=O)Nc3ccc(N)cc3)cc2)cc1,*Nc1ccc(NC(=O)c2ccc(C(=O)Nc3ccc(NC(=O)c4ccc5[nH]c(C(*)=O)cc5c4)cc3)cc2)cc1,polyamide,0.347 
103,O=C=NCCCCN=C=O,OCCCCCCCCCCCCCCCCCCCCCCO,*OCCCCCCCCCCCCCCCCCCCCCCOC(=O)NCCCCNC(*)=O,polyurethane,0.347 
104,O=C=Nc1ccccc1Cc1ccccc1N=C=O,OCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCO,*OCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCOC(=O)Nc1ccccc1Cc1ccccc1NC(*)=O,polyurethane,0.345 
105,O=C(O)COc1ccc(C(=O)O)cc1,Nc1ccc(NC(=O)c2ccc(N)cc2)cc1,*Nc1ccc(NC(=O)c2ccc(NC(=O)c3ccc(OCC(*)=O)cc3)cc2)cc1,polyamide,0.344 
106,O=C(O)c1ccc2[nH]c(C(=O)O)cc2c1,Nc1ccc(NC(=O)c2ccc(C(=O)Nc3ccc(N)cc3)cc2)cc1,*Nc1ccc(NC(=O)c2ccc(C(=O)Nc3ccc(NC(=O)c4cc5cc(C(*)=O)ccc5[nH]4)cc3)cc2)cc1,polyamide,0.338 
107,O=C(O)c1ccc(C=Nc2ccc(C(=O)O)cc2)cc1,Nc1ccc2c(c1)=c1ccc(N)cc1=2,*Nc1ccc2c(c1)=c1ccc(NC(=O)c3ccc(N=Cc4ccc(C(*)=O)cc4)cc3)cc1=2,polyamide,0.335 
108,O=C(O)COc1ccc(C(=O)O)cc1,Nc1ccc(C(=O)Nc2ccc(NC(=O)c3ccc(N)cc3)cc2)cc1,*Nc1ccc(C(=O)Nc2ccc(NC(=O)c3ccc(NC(=O)c4ccc(OCC(*)=O)cc4)cc3)cc2)cc1,polyamide,0.334 
109,O=C(O)c1ccc(C(=O)O)[nH]1,Nc1ccc2c(c1)=c1ccc(N)cc1=2,*Nc1ccc2c(c1)=c1ccc(NC(=O)c3ccc(C(*)=O)[nH]3)cc1=2,polyamide,0.334 
110,O=C=NCCCCCCCCN=C=O,OCCCCCCCCCCCCCCCCCCCCO,*OCCCCCCCCCCCCCCCCCCCCOC(=O)NCCCCCCCCNC(*)=O,polyurethane,0.334 
111,O=C=Nc1ccc(N=C=O)cc1,OCCCCCCCCCCCCCCCCCCCCO,*OCCCCCCCCCCCCCCCCCCCCOC(=O)Nc1ccc(NC(*)=O)cc1,polyurethane,0.334 
112,O=C=NCCCCCCCCCCCCN=C=O,OCCCCCCCCCCCCCCCCCCCCCCO,*OCCCCCCCCCCCCCCCCCCCCCCOC(=O)NCCCCCCCCCCCCNC(*)=O,polyurethane,0.333 
113,O=C(Cl)c1cccc(C(=O)Cl)c1,Nc1ccc(C(=O)Nc2ccc(NC(=O)c3ccc(N)cc3)cc2)cc1,*Nc1ccc(C(=O)Nc2ccc(NC(=O)c3ccc(NC(=O)c4cccc(C(*)=O)c4)cc3)cc2)cc1,polyamide,0.332 
114,O=C(O)c1ccc(NC(=O)c2ccc(C(=O)Nc3ccc(C(=O)O)cc3)cc2)cc1,Nc1ccc(N)c2[nH]ccc12,*Nc1ccc(NC(=O)c2ccc(NC(=O)c3ccc(C(=O)Nc4ccc(C(*)=O)cc4)cc3)cc2)c2cc[nH]c12,polyamide,0.332 
115,O=C=Nc1ccc(N=C=O)cc1,Oc1ccc(NC(=S)Nc2ccc(O)cc2)cc1,*Oc1ccc(NC(=S)Nc2ccc(OC(=O)Nc3ccc(NC(*)=O)cc3)cc2)cc1,polyurethane,0.331 
116,O=C(O)c1ccc(C=Nc2ccc(C(=O)O)cc2)cc1,Nc1ccc(N)cc1,*Nc1ccc(NC(=O)c2ccc(C=Nc3ccc(C(*)=O)cc3)cc2)cc1,polyamide,0.330 
117,O=C=NCCCCCCCCCCCCN=C=O,OCCCCCCCCCCCCCCCCCCO,*OCCCCCCCCCCCCCCCCCCOC(=O)NCCCCCCCCCCCCNC(*)=O,polyurethane,0.328 
118,O=C(O)c1ccc(NC(=O)c2ccc(C(=O)Nc3ccc(C(=O)O)cc3)cc2)cc1,Nc1ccc(N)[nH]1,*Nc1ccc(NC(=O)c2ccc(NC(=O)c3ccc(C(=O)Nc4ccc(C(*)=O)cc4)cc3)cc2)[nH]1,polyamide,0.327 
119,O=C=Nc1ccc(N=C=O)cc1,Oc1ccc(C=Nc2ccc(N=Cc3ccc(O)cc3)cc2)cc1,*Oc1ccc(C=Nc2ccc(N=Cc3ccc(OC(=O)Nc4ccc(NC(*)=O)cc4)cc3)cc2)cc1,polyurethane,0.327 
120,O=C(O)c1csc(C(=O)O)c1,Nc1ccc(C(=O)Nc2ccc(NC(=O)c3ccc(N)cc3)cc2)cc1,*Nc1ccc(C(=O)Nc2ccc(NC(=O)c3ccc(NC(=O)c4cc(C(*)=O)cs4)cc3)cc2)cc1,polyamide,0.326 
121,O=C=NCCCCCCCCCCCCN=C=O,OCCCCCCCCCCCCCCCCCCCO,*OCCCCCCCCCCCCCCCCCCCOC(=O)NCCCCCCCCCCCCNC(*)=O,polyurethane,0.326 
122,O=C(CC(=O)Nc1ccc(C(=O)O)cc1)Nc1ccc(C(=O)O)cc1,Nc1ccc(NC(=O)c2ccc(C(=O)Nc3ccc(N)cc3)cc2)cc1,*Nc1ccc(NC(=O)c2ccc(C(=O)Nc3ccc(NC(=O)c4ccc(NC(=O)CC(=O)Nc5ccc(C(*)=O)cc5)cc4)cc3)cc2)cc1,polyamide,0.326 
123,O=C(Cl)c1cncc(C(=O)Cl)c1,Nc1ccc(NC(=O)c2ccc(N)cc2)cc1,*Nc1ccc(NC(=O)c2ccc(NC(=O)c3cncc(C(*)=O)c3)cc2)cc1,polyamide,0.325 
124,O=C(O)c1cc[nH]c1C(=O)O,Nc1ccc(C(=O)Nc2ccc(NC(=O)c3ccc(N)cc3)cc2)cc1,*Nc1ccc(C(=O)Nc2ccc(NC(=O)c3ccc(NC(=O)c4[nH]ccc4C(*)=O)cc3)cc2)cc1,polyamide,0.325 
125,O=C(O)c1ccsc1C(=O)O,Nc1ccc2c(c1)=c1ccc(N)cc1=2,*Nc1ccc2c(c1)=c1ccc(NC(=O)c3sccc3C(*)=O)cc1=2,polyamide,0.325 
126,O=C=NCCCCCCCCN=C=O,OCCCCCCCCCCCCCCCCCCCCCCO,*OCCCCCCCCCCCCCCCCCCCCCCOC(=O)NCCCCCCCCNC(*)=O,polyurethane,0.325 
127,O=C=Nc1ccc(N=C=O)cc1,OCCCCCCCCCCCCCCCCCCCCCCO,*OCCCCCCCCCCCCCCCCCCCCCCOC(=O)Nc1ccc(NC(*)=O)cc1,polyurethane,0.324 
128,O=C(O)c1ccc2ccc(C(=O)O)cc2c1,Nc1ccc(C(=O)Nc2ccc(NC(=O)c3ccc(N)cc3)cc2)cc1,*Nc1ccc(C(=O)Nc2ccc(NC(=O)c3ccc(NC(=O)c4ccc5ccc(C(*)=O)cc5c4)cc3)cc2)cc1,polyamide,0.324 
129,O=C(O)c1ccc2[nH]c(C(=O)O)cc2c1,Nc1ccc(NC(=O)c2ccc(N)cc2)cc1,*Nc1ccc(NC(=O)c2ccc(NC(=O)c3ccc4[nH]c(C(*)=O)cc4c3)cc2)cc1,polyamide,0.324 
130,O=C(O)COc1ccc(C(=O)O)cc1,Nc1ccc(NC(=O)c2ccc(N)cc2)cc1,*Nc1ccc(NC(=O)c2ccc(NC(=O)COc3ccc(C(*)=O)cc3)cc2)cc1,polyamide,0.321 
131,O=C(O)c1ccc2ccc(C(=O)O)cc2c1,Nc1ccc(NC(=O)c2ccc(N)cc2)cc1,*Nc1ccc(C(=O)Nc2ccc(NC(=O)c3ccc4ccc(C(*)=O)cc4c3)cc2)cc1,polyamide,0.321 
132,O=C=NCCCCCN=C=O,OCCCCCCCCCCCCCCCCCCCCCCO,*OCCCCCCCCCCCCCCCCCCCCCCOC(=O)NCCCCCNC(*)=O,polyurethane,0.321 
133,O=C(O)c1ccc(C(=O)O)[nH]1,Nc1ccc(N)cc1,*Nc1ccc(NC(=O)c2ccc(C(*)=O)[nH]2)cc1,polyamide,0.320 
134,O=C=NCCCCCCCCCCN=C=O,OCCCCCCCCCCCCCCCCCCO,*OCCCCCCCCCCCCCCCCCCOC(=O)NCCCCCCCCCCNC(*)=O,polyurethane,0.320 
135,O=C=NCCCCCCCCCCCCN=C=O,OCCCCCCCCCCCCCCCCCO,*OCCCCCCCCCCCCCCCCCOC(=O)NCCCCCCCCCCCCNC(*)=O,polyurethane,0.319 
136,O=C(O)c1ccsc1C(=O)O,Nc1ccc(C(=O)Nc2ccc(NC(=O)c3ccc(N)cc3)cc2)cc1,*Nc1ccc(C(=O)Nc2ccc(NC(=O)c3ccc(NC(=O)c4ccsc4C(*)=O)cc3)cc2)cc1,polyamide,0.319 
137,O=C(O)c1ccc(C=Nc2ccc(C(=O)O)cc2)cc1,Nc1ccc2c(c1)=c1ccc(N)cc1=2,*Nc1ccc2c(c1)=c1ccc(NC(=O)c3ccc(C=Nc4ccc(C(*)=O)cc4)cc3)cc1=2,polyamide,0.318 
138,O=C=NCCCCCCCCCCN=C=O,OCCCCCCCCCCCCCCCCCCCO,*OCCCCCCCCCCCCCCCCCCCOC(=O)NCCCCCCCCCCNC(*)=O,polyurethane,0.318 
139,O=C(O)COc1ccc(C(=O)O)cc1,Nc1ccc(NC(=O)c2ccc(N)cc2)cc1,*Nc1ccc(C(=O)Nc2ccc(NC(=O)COc3ccc(C(*)=O)cc3)cc2)cc1,polyamide,0.317 
140,O=C=NCCCCCCN=C=O,OCCCCCCCCCCCCCCCCCCCCCCO,*OCCCCCCCCCCCCCCCCCCCCCCOC(=O)NCCCCCCNC(*)=O,polyurethane,0.316 
141,O=C=NCCCCCCCCCCCCN=C=O,OCCCCCCCCCCCCCCCO,*OCCCCCCCCCCCCCCCOC(=O)NCCCCCCCCCCCCNC(*)=O,polyurethane,0.315 
142,O=C(O)c1ccc(NC(=O)c2ccc(C(=O)Nc3ccc(C(=O)O)cc3)cc2)cc1,Nc1ccc(S(=O)c2ccc(N)cc2)cc1,*Nc1ccc(S(=O)c2ccc(NC(=O)c3ccc(NC(=O)c4ccc(C(=O)Nc5ccc(C(*)=O)cc5)cc4)cc3)cc2)cc1,polyamide,0.315 
143,O=C(O)c1csc(C(=O)O)c1,Nc1ccc(NC(=O)c2ccc(C(=O)Nc3ccc(N)cc3)cc2)cc1,*Nc1ccc(NC(=O)c2ccc(C(=O)Nc3ccc(NC(=O)c4csc(C(*)=O)c4)cc3)cc2)cc1,polyamide,0.314 
144,O=C=Nc1ccc(N=C=O)cc1,Oc1ccc(N=CC=Nc2ccc(O)cc2)cc1,*Oc1ccc(N=CC=Nc2ccc(OC(=O)Nc3ccc(NC(*)=O)cc3)cc2)cc1,polyurethane,0.313 
145,O=C=NCCCCCCCCCCN=C=O,OCCCCCCCCCCCCCCCCCO,*OCCCCCCCCCCCCCCCCCOC(=O)NCCCCCCCCCCNC(*)=O,polyurethane,0.312 
146,O=C(O)c1ccoc1C(=O)O,Nc1ccc(NC(=O)c2ccc(C(=O)Nc3ccc(N)cc3)cc2)cc1,*Nc1ccc(NC(=O)c2ccc(C(=O)Nc3ccc(NC(=O)c4ccoc4C(*)=O)cc3)cc2)cc1,polyamide,0.312 
147,O=C(O)COc1ccc(C(=O)O)cc1,Nc1ccc(N)cc1,*Nc1ccc(NC(=O)c2ccc(OCC(*)=O)cc2)cc1,polyamide,0.312 
148,O=C(O)COc1ccc(C(=O)O)cc1,Nc1ccc(NC(=O)c2ccc(N)cc2)cc1,*Nc1ccc(C(=O)Nc2ccc(NC(=O)c3ccc(OCC(*)=O)cc3)cc2)cc1,polyamide,0.312 
149,O=C(O)c1ccoc1C(=O)O,Nc1ccc(C(=O)Nc2ccc(NC(=O)c3ccc(N)cc3)cc2)cc1,*Nc1ccc(C(=O)Nc2ccc(NC(=O)c3ccc(NC(=O)c4ccoc4C(*)=O)cc3)cc2)cc1,polyamide,0.310 
150,O=C(Cl)c1cccc(C(=O)Cl)c1,Nc1ccc(NC(=O)c2ccc(N)cc2)cc1,*Nc1ccc(NC(=O)c2ccc(NC(=O)c3cccc(C(*)=O)c3)cc2)cc1,polyamide,0.310 
151,O=C(O)c1ccc2ccc(C(=O)O)cc2c1,Nc1ccc(NC(=O)c2ccc(N)cc2)cc1,*Nc1ccc(NC(=O)c2ccc(NC(=O)c3ccc4ccc(C(*)=O)cc4c3)cc2)cc1,polyamide,0.309 
152,O=C=Nc1cccc(N=C=O)c1,OCCCCCCCCCCCCCCCCCCO,*OCCCCCCCCCCCCCCCCCCOC(=O)Nc1cccc(NC(*)=O)c1,polyurethane,0.309 
153,O=C(O)c1ccc(NC(=O)c2ccc(C(=O)Nc3ccc(C(=O)O)cc3)cc2)cc1,Nc1cc(=O)[nH]c(N)n1,*Nc1cc(=O)[nH]c(NC(=O)c2ccc(NC(=O)c3ccc(C(=O)Nc4ccc(C(*)=O)cc4)cc3)cc2)n1,polyamide,0.306 
154,O=C(O)c1cc[nH]c1C(=O)O,Nc1ccc(NC(=O)c2ccc(N)cc2)cc1,*Nc1ccc(C(=O)Nc2ccc(NC(=O)c3[nH]ccc3C(*)=O)cc2)cc1,polyamide,0.306 
155,O=C(O)COc1ccc(C(=O)O)cc1,Nc1ccc(C(=O)Nc2ccc(NC(=O)c3ccc(N)cc3)cc2)cc1,*Nc1ccc(C(=O)Nc2ccc(NC(=O)c3ccc(NC(=O)COc4ccc(C(*)=O)cc4)cc3)cc2)cc1,polyamide,0.305 
156,O=C(O)c1csc(C(=O)O)c1,Nc1ccc(C(=O)Nc2ccc(NC(=O)c3ccc(N)cc3)cc2)cc1,*Nc1ccc(C(=O)Nc2ccc(NC(=O)c3ccc(NC(=O)c4csc(C(*)=O)c4)cc3)cc2)cc1,polyamide,0.304 
157,O=C(O)c1ccc(OC(=O)c2ccc(O)cc2)cc1,,*Oc1ccc(C(=O)Oc2ccc(C(*)=O)cc2)cc1,polyester,0.300 
158,O=C(Cl)c1cccc(C(=O)Cl)c1,Nc1ccc(NC(=O)c2ccc(N)cc2)cc1,*Nc1ccc(C(=O)Nc2ccc(NC(=O)c3cccc(C(*)=O)c3)cc2)cc1,polyamide,0.300 
159,O=C(O)c1ccsc1C(=O)O,Nc1ccc(NC(=O)c2ccc(N)cc2)cc1,*Nc1ccc(C(=O)Nc2ccc(NC(=O)c3ccsc3C(*)=O)cc2)cc1,polyamide,0.300 
160,O=C=NCCCCCCCCCCN=C=O,OCCCCCCCCCCCCCCCCCCCCCCO,*OCCCCCCCCCCCCCCCCCCCCCCOC(=O)NCCCCCCCCCCNC(*)=O,polyurethane,0.298 
161,O=C=Nc1cccc(N=C=O)c1,OCCCCCCCCCCCCCCCCCCCCO,*OCCCCCCCCCCCCCCCCCCCCOC(=O)Nc1cccc(NC(*)=O)c1,polyurethane,0.297 
162,O=C(Cl)c1ccc(C(=O)Cl)o1,Nc1ccc(NC(=O)c2ccc(C(=O)Nc3ccc(N)cc3)cc2)cc1,*Nc1ccc(NC(=O)c2ccc(C(=O)Nc3ccc(NC(=O)c4ccc(C(*)=O)o4)cc3)cc2)cc1,polyamide,0.295 
163,O=C=NCCCCCCCCCCCCN=C=O,OCCCCCCCCCCCCCCCCO,*OCCCCCCCCCCCCCCCCOC(=O)NCCCCCCCCCCCCNC(*)=O,polyurethane,0.294 
164,O=C=Nc1ccc(N=C=O)cc1,OCCCCCCCCCCCCCCCCCCCO,*OCCCCCCCCCCCCCCCCCCCOC(=O)Nc1ccc(NC(*)=O)cc1,polyurethane,0.294 
165,O=C(O)c1cc[nH]c1C(=O)O,Nc1ccc(C(=O)Nc2ccc(NC(=O)c3ccc(N)cc3)cc2)cc1,*Nc1ccc(C(=O)Nc2ccc(NC(=O)c3ccc(NC(=O)c4cc[nH]c4C(*)=O)cc3)cc2)cc1,polyamide,0.293 
166,O=C(Cl)c1cncc(C(=O)Cl)c1,Nc1ccc(NC(=O)c2ccc(N)cc2)cc1,*Nc1ccc(C(=O)Nc2ccc(NC(=O)c3cncc(C(*)=O)c3)cc2)cc1,polyamide,0.291 
167,O=C(O)c1cc[nH]c1C(=O)O,Nc1ccc(NC(=O)c2ccc(C(=O)Nc3ccc(N)cc3)cc2)cc1,*Nc1ccc(NC(=O)c2ccc(C(=O)Nc3ccc(NC(=O)c4[nH]ccc4C(*)=O)cc3)cc2)cc1,polyamide,0.289 
168,O=C(O)c1ccsc1C(=O)O,Nc1ccc(NC(=O)c2ccc(N)cc2)cc1,*Nc1ccc(NC(=O)c2ccc(NC(=O)c3sccc3C(*)=O)cc2)cc1,polyamide,0.289 
169,O=C=NCCCCCCCCN=C=O,OCCCCCCCCCCCCCCCCCCCO,*OCCCCCCCCCCCCCCCCCCCOC(=O)NCCCCCCCCNC(*)=O,polyurethane,0.288 
170,O=C=Nc1ccc(N=C=O)cc1,Oc1ccc(N=Cc2ccc(C=Nc3ccc(O)cc3)cc2)cc1,*Oc1ccc(N=Cc2ccc(C=Nc3ccc(OC(=O)Nc4ccc(NC(*)=O)cc4)cc3)cc2)cc1,polyurethane,0.288 
171,O=C=Nc1ccc(N=C=O)cc1,O=C1C=CC(=O)c2c(O)ccc(O)c21,*Oc1ccc(OC(=O)Nc2ccc(NC(*)=O)cc2)c2c1C(=O)C=CC2=O,polyurethane,0.287 
172,O=C(Cl)c1ccc(C(=O)Cl)o1,Nc1ccc(C(=O)Nc2ccc(NC(=O)c3ccc(N)cc3)cc2)cc1,*Nc1ccc(C(=O)Nc2ccc(NC(=O)c3ccc(NC(=O)c4ccc(C(*)=O)o4)cc3)cc2)cc1,polyamide,0.285 
173,O=C(O)c1ccsc1C(=O)O,Nc1ccc(NC(=O)c2ccc(C(=O)Nc3ccc(N)cc3)cc2)cc1,*Nc1ccc(NC(=O)c2ccc(C(=O)Nc3ccc(NC(=O)c4ccsc4C(*)=O)cc3)cc2)cc1,polyamide,0.283 
174,O=C(O)c1cc(O)[nH]c(=O)c1,O=C(O)c1cc(O)co1,*Oc1cc(C(=O)Oc2coc(C(*)=O)c2)cc(=O)[nH]1,polyester,0.282 
175,O=C(O)c1ccsc1C(=O)O,Nc1ccc(C(=O)Nc2ccc(NC(=O)c3ccc(N)cc3)cc2)cc1,*Nc1ccc(C(=O)Nc2ccc(NC(=O)c3ccc(NC(=O)c4sccc4C(*)=O)cc3)cc2)cc1,polyamide,0.281 
176,O=C(O)c1ccsc1C(=O)O,Nc1ccc(NC(=O)c2ccc(C(=O)Nc3ccc(N)cc3)cc2)cc1,*Nc1ccc(NC(=O)c2ccc(C(=O)Nc3ccc(NC(=O)c4sccc4C(*)=O)cc3)cc2)cc1,polyamide,0.281 
177,O=C=Nc1cccc(N=C=O)c1,Oc1ccc(C=Nc2ccc(N=Cc3ccc(O)cc3)cc2)cc1,*Oc1ccc(C=Nc2ccc(N=Cc3ccc(OC(=O)Nc4cccc(NC(*)=O)c4)cc3)cc2)cc1,polyurethane,0.280 
178,O=C=Nc1cccc(N=C=O)c1,OCCCCCCCCCCCCCCCCCCCO,*OCCCCCCCCCCCCCCCCCCCOC(=O)Nc1cccc(NC(*)=O)c1,polyurethane,0.279 
179,O=C(O)c1ccoc1C(=O)O,Nc1ccc(C(=O)Nc2ccc(NC(=O)c3ccc(N)cc3)cc2)cc1,*Nc1ccc(C(=O)Nc2ccc(NC(=O)c3ccc(NC(=O)c4occc4C(*)=O)cc3)cc2)cc1,polyamide,0.279 
180,O=C(O)Cc1sccc1C(=O)O,Nc1ccc(C(=O)Nc2ccc(NC(=O)c3ccc(N)cc3)cc2)cc1,*Nc1ccc(C(=O)Nc2ccc(NC(=O)c3ccc(NC(=O)Cc4sccc4C(*)=O)cc3)cc2)cc1,polyamide,0.277 
181,O=C(Cl)COc1ccccc1OCC(=O)Cl,Nc1ccc(C(=O)Nc2ccc(NC(=O)c3ccc(N)cc3)cc2)cc1,*Nc1ccc(C(=O)Nc2ccc(NC(=O)c3ccc(NC(=O)COc4ccccc4OCC(*)=O)cc3)cc2)cc1,polyamide,0.273 
182,O=C(O)c1ccoc1C(=O)O,Nc1ccc(NC(=O)c2ccc(C(=O)Nc3ccc(N)cc3)cc2)cc1,*Nc1ccc(NC(=O)c2ccc(C(=O)Nc3ccc(NC(=O)c4occc4C(*)=O)cc3)cc2)cc1,polyamide,0.270 
183,O=C(O)COc1cccc(OCC(=O)O)c1,Nc1ccc(C(=O)Nc2ccc(NC(=O)c3ccc(N)cc3)cc2)cc1,*Nc1ccc(C(=O)Nc2ccc(NC(=O)c3ccc(NC(=O)COc4cccc(OCC(*)=O)c4)cc3)cc2)cc1,polyamide,0.267 
184,O=C(O)c1cc[nH]c1C(=O)O,Nc1ccc(NC(=O)c2ccc(N)cc2)cc1,*Nc1ccc(C(=O)Nc2ccc(NC(=O)c3cc[nH]c3C(*)=O)cc2)cc1,polyamide,0.266 
185,O=C(O)COc1ccc(C(=O)O)cc1,Nc1ccc(N)cc1,*Nc1ccc(NC(=O)COc2ccc(C(*)=O)cc2)cc1,polyamide,0.266 
186,O=C(O)Cc1sccc1C(=O)O,Nc1ccc(NC(=O)c2ccc(C(=O)Nc3ccc(N)cc3)cc2)cc1,*Nc1ccc(NC(=O)c2ccc(C(=O)Nc3ccc(NC(=O)c4ccsc4CC(*)=O)cc3)cc2)cc1,polyamide,0.265 
187,O=C(O)c1ccc(NC(=O)c2ccc(C(=O)Nc3ccc(C(=O)O)cc3)cc2)cc1,Nc1cc(=O)[nH]c(N)n1,*Nc1nc(NC(=O)c2ccc(NC(=O)c3ccc(C(=O)Nc4ccc(C(*)=O)cc4)cc3)cc2)cc(=O)[nH]1,polyamide,0.264 
188,O=C=Nc1ccc(N=C=O)cc1,O=C(CO)NCCO,*OCCNC(=O)COC(=O)Nc1ccc(NC(*)=O)cc1,polyurethane,0.264 
189,O=C(O)c1ccsc1C(=O)O,Nc1ccc(NC(=O)c2ccc(N)cc2)cc1,*Nc1ccc(C(=O)Nc2ccc(NC(=O)c3sccc3C(*)=O)cc2)cc1,polyamide,0.259 
190,O=C(Cl)COc1ccccc1OCC(=O)Cl,Nc1ccc(NC(=O)c2ccc(C(=O)Nc3ccc(N)cc3)cc2)cc1,*Nc1ccc(NC(=O)c2ccc(C(=O)Nc3ccc(NC(=O)COc4ccccc4OCC(*)=O)cc3)cc2)cc1,polyamide,0.259 
191,O=C=Nc1ccc(N=C=O)cc1,O=C(CO)CO,*OCC(=O)COC(=O)Nc1ccc(NC(*)=O)cc1,polyurethane,0.259 
192,O=C(O)c1cc[nH]c1C(=O)O,Nc1ccc(NC(=O)c2ccc(C(=O)Nc3ccc(N)cc3)cc2)cc1,*Nc1ccc(NC(=O)c2ccc(C(=O)Nc3ccc(NC(=O)c4cc[nH]c4C(*)=O)cc3)cc2)cc1,polyamide,0.258 
193,O=C(O)Cc1sccc1C(=O)O,Nc1ccc(NC(=O)c2ccc(N)cc2)cc1,*Nc1ccc(NC(=O)c2ccc(NC(=O)c3ccsc3CC(*)=O)cc2)cc1,polyamide,0.256 
194,O=C(O)c1cc[nH]c1C(=O)O,Nc1ccc(N)cc1,*Nc1ccc(NC(=O)c2cc[nH]c2C(*)=O)cc1,polyamide,0.253 
